assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
733138,155539,Pomatias canariensis,6.1,Recreational activities,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734201,155663,Pomatias palmensis,6.1,Recreational activities,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734201,155663,Pomatias palmensis,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734201,155663,Pomatias palmensis,2.1.4,Scale Unknown/Unrecorded,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734228,155672,Pomatias lanzarotensis,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734228,155672,Pomatias lanzarotensis,2.1.4,Scale Unknown/Unrecorded,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734228,155672,Pomatias lanzarotensis,6.1,Recreational activities,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
734228,155672,Pomatias lanzarotensis,2.3.4,Scale Unknown/Unrecorded,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
738029,155943,Pomatias laevigatus,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
738029,155943,Pomatias laevigatus,2.1.4,Scale Unknown/Unrecorded,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
738029,155943,Pomatias laevigatus,6.1,Recreational activities,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
740729,156067,Tarraconia rolani,7.2.3,Abstraction of surface water (agricultural use),1.2|2.1,Ecosystem degradation|Species mortality,,,,Majority (50-90%),Rapid Declines,,Future,
740729,156067,Tarraconia rolani,7.2.7,Abstraction of ground water (agricultural use),1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Future,
740729,156067,Tarraconia rolani,9.3.1,Nutrient loads,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),Causing/Could cause fluctuations,,Future,
740729,156067,Tarraconia rolani,9.3.3,Herbicides and pesticides,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),Causing/Could cause fluctuations,,Future,
740729,156067,Tarraconia rolani,11.2,Droughts,1.2,Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
742776,157118,Theba macandrewiana,11.2,Droughts,1.2|2.1|2.2|2.3.7,Ecosystem degradation|Species mortality|Species disturbance|Reduced reproductive success,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,
742776,157118,Theba macandrewiana,11.1,Habitat shifting & alteration,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Whole (>90%),Unknown,,Future,
742776,157118,Theba macandrewiana,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,
742776,157118,Theba macandrewiana,8.1.2,Named species,2.1,Species mortality,Unknown Ancestry,Unspecified Rattus,,Whole (>90%),Rapid Declines,,Future,
899963,162144,Anthyllis hystrix,7.1.3,Trend Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Causing/Could cause fluctuations,,Ongoing,
899963,162144,Anthyllis hystrix,8.1.1,Unspecified species,2.3.2,Competition,,,,Unknown,Unknown,,Ongoing,
899963,162144,Anthyllis hystrix,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Causing/Could cause fluctuations,,Ongoing,
899963,162144,Anthyllis hystrix,1.3,Tourism & recreation areas,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
986248,163225,Grimpoteuthis umbellata,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,Unknown,Unknown,,Ongoing,
1077672,165121,Lycopodium madeirense,4.1,Roads & railroads,1.1|1.2|1.3|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1077672,165121,Lycopodium madeirense,2.3.4,Scale Unknown/Unrecorded,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1079182,165231,Asplenium azoricum,7.3,Other ecosystem modifications,1.1|1.3|2.1|2.2,Ecosystem conversion|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
1079182,165231,Asplenium azoricum,6.3,Work & other activities,1.1|1.3|2.2,Ecosystem conversion|Indirect ecosystem effects|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
1316979,170828,Bulgarica iniucunda,7.1.3,Trend Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1316993,170829,Micridyla pinteri,5.3.5,Motivation Unknown/Unrecorded,1.2|2.1,Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1316993,170829,Micridyla pinteri,1.3,Tourism & recreation areas,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1316993,170829,Micridyla pinteri,7.1.3,Trend Unknown/Unrecorded,1.2|2.1,Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1316993,170829,Micridyla pinteri,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1317289,170834,Albinaria confusa,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1317289,170834,Albinaria confusa,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1317289,170834,Albinaria confusa,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1317317,170836,Gyralina ermonae,4.1,Roads & railroads,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1317317,170836,Gyralina ermonae,3.2,Mining & quarrying,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1317317,170836,Gyralina ermonae,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1317317,170836,Gyralina ermonae,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1317331,170837,Cryptella alegranzae,11.2,Droughts,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Very Rapid Declines,,Ongoing,
1317331,170837,Cryptella alegranzae,11.1,Habitat shifting & alteration,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Whole (>90%),Rapid Declines,,Future,
1317448,170840,Zonites graecus,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Ongoing,
1317448,170840,Zonites graecus,2.1.4,Scale Unknown/Unrecorded,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Ongoing,
1317448,170840,Zonites graecus,11.1,Habitat shifting & alteration,1.1|1.2|2.2|2.3.7,Ecosystem conversion|Ecosystem degradation|Species disturbance|Reduced reproductive success,,,,Whole (>90%),"Slow, Significant Declines",,Future,
1317448,170840,Zonites graecus,2.3.4,Scale Unknown/Unrecorded,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Ongoing,
1317462,170841,Charpentieria spezialensis,11.2,Droughts,1.2|2.1,Ecosystem degradation|Species mortality,,,,Whole (>90%),"Slow, Significant Declines",,Future,
1317462,170841,Charpentieria spezialensis,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,,,,Majority (50-90%),Rapid Declines,,Ongoing,
1317462,170841,Charpentieria spezialensis,5.1.1,Intentional use (species is the target),2.2|2.3.8,Species disturbance|Other,,,No,Whole (>90%),"Slow, Significant Declines",,Ongoing,
1317476,170842,Ferussacia valida,1.3,Tourism & recreation areas,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1317476,170842,Ferussacia valida,2.3.1,Nomadic grazing,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
1317518,170845,Macedonica martae,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Very Rapid Declines,,Ongoing,
1317532,170846,Montenegrina apfelbecki,12.1,Other threat,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Unknown,,Future,
1317682,170850,Charpentieria calcarae,11.2,Droughts,1.2,Ecosystem degradation,,,,Majority (50-90%),Causing/Could cause fluctuations,,Future,
1317682,170850,Charpentieria calcarae,7.1.1,Increase in fire frequency/intensity,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
1317682,170850,Charpentieria calcarae,5.1.1,Intentional use (species is the target),2.1|2.2|2.3.8,Species mortality|Species disturbance|Other,,,No,Minority (<50%),Negligible declines,,Ongoing,
1317836,170861,Macedonica schatzmayri,3.2,Mining & quarrying,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),Unknown,,Ongoing,
1317864,170863,Zonites labiosus,7.1.1,Increase in fire frequency/intensity,1|1.2|2|2.1,Ecosystem stresses|Ecosystem degradation|Species Stresses|Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1317864,170863,Zonites labiosus,2.3.4,Scale Unknown/Unrecorded,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1317864,170863,Zonites labiosus,11.1,Habitat shifting & alteration,1.2|1.3,Ecosystem degradation|Indirect ecosystem effects,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1317864,170863,Zonites labiosus,2.1.4,Scale Unknown/Unrecorded,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1317962,170870,Albinaria vrondamasa,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Future,
1317962,170870,Albinaria vrondamasa,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Future,
1317962,170870,Albinaria vrondamasa,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1317976,170871,Amphorella hypselia,11.3,Temperature extremes,1.2|2.1|2.2|2.3.7,Ecosystem degradation|Species mortality|Species disturbance|Reduced reproductive success,,,,Whole (>90%),Causing/Could cause fluctuations,,Future,
1317976,170871,Amphorella hypselia,11.2,Droughts,1.2|2.1|2.2|2.3.7,Ecosystem degradation|Species mortality|Species disturbance|Reduced reproductive success,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,
1317976,170871,Amphorella hypselia,10.3,Avalanches/landslides,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,
1318062,170875,Spelaeodiscus hauffeni,4.1,Roads & railroads,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Rapid Declines,,Future,
1318062,170875,Spelaeodiscus hauffeni,3.2,Mining & quarrying,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Rapid Declines,,Future,
1318076,170876,Retinella osoriensis,1.1,Housing & urban areas,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
1318076,170876,Retinella osoriensis,2.1.2,Small-holder farming,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1318076,170876,Retinella osoriensis,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1318090,170877,Aegopis compressus,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Rapid Declines,,Ongoing,
1318132,170880,Limax aeolianus,2.3.4,Scale Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Minority (<50%),Negligible declines,,Unknown,
1318132,170880,Limax aeolianus,4.1,Roads & railroads,1.2,Ecosystem degradation,,,,Minority (<50%),Negligible declines,,Unknown,
1318132,170880,Limax aeolianus,2.3.2,"Small-holder grazing, ranching or farming",1.2|1.3,Ecosystem degradation|Indirect ecosystem effects,,,,Minority (<50%),Negligible declines,,Unknown,
1318132,170880,Limax aeolianus,6.3,Work & other activities,1.2|1.3,Ecosystem degradation|Indirect ecosystem effects,,,,Minority (<50%),Negligible declines,,Unknown,
1318132,170880,Limax aeolianus,7.1.1,Increase in fire frequency/intensity,1.2|1.3|2.1|2.2,Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1318188,170884,Carpathica elisabethae,5.3.5,Motivation Unknown/Unrecorded,2.1|2.2,Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1318244,170888,Lehmannia requienii,7.1.1,Increase in fire frequency/intensity,1.1|1.2|1.3|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1318244,170888,Lehmannia requienii,4.1,Roads & railroads,1.2|1.3|2.1|2.2,Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1318244,170888,Lehmannia requienii,2.3.4,Scale Unknown/Unrecorded,2.1|2.2,Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1318286,170891,Oxychilus fuscosus,7.1.1,Increase in fire frequency/intensity,1.1|1.2|1.3,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects,,,,Whole (>90%),Very Rapid Declines,,"Past, Likely to Return",
1318286,170891,Oxychilus fuscosus,1.1,Housing & urban areas,1.1|1.2|1.3,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects,,,,Minority (<50%),Causing/Could cause fluctuations,,"Past, Likely to Return",
1318286,170891,Oxychilus fuscosus,12.1,Other threat,2.2|2.3.8,Species disturbance|Other,,,,Unknown,Negligible declines,,Ongoing,
1318328,170894,Boettgeria depauperata,7.1.1,Increase in fire frequency/intensity,1.1|1.2|1.3|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Majority (50-90%),Negligible declines,,Ongoing,
1318328,170894,Boettgeria depauperata,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1318404,170898,Mediterranea planospiroides,9.2.3,Type Unknown/Unrecorded,1.2|2.1|2.2|2.3.7,Ecosystem degradation|Species mortality|Species disturbance|Reduced reproductive success,,,,Unknown,Unknown,,Ongoing,
1318404,170898,Mediterranea planospiroides,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1318404,170898,Mediterranea planospiroides,9.4,Garbage & solid waste,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1318404,170898,Mediterranea planospiroides,9.5.4,Type Unknown/Unrecorded,1.2|2.1|2.2|2.3.7,Ecosystem degradation|Species mortality|Species disturbance|Reduced reproductive success,,,,Unknown,Unknown,,Ongoing,
1318460,170902,Gyralina rempei,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1318460,170902,Gyralina rempei,4.1,Roads & railroads,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Future,
1318460,170902,Gyralina rempei,3.2,Mining & quarrying,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Future,
1318460,170902,Gyralina rempei,11.2,Droughts,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Future,
1318460,170902,Gyralina rempei,11.1,Habitat shifting & alteration,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Future,
1318502,170905,Alopia livida,3.2,Mining & quarrying,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1318516,170906,Alopia subcosticollis,3.2,Mining & quarrying,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Future,
1318572,170910,Tandonia jablanacensis,7.1.1,Increase in fire frequency/intensity,1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Unknown,,Ongoing,
1318670,170917,Balcanodiscus carinatus,7.1.1,Increase in fire frequency/intensity,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1318670,170917,Balcanodiscus carinatus,11.3,Temperature extremes,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Future,
1318670,170917,Balcanodiscus carinatus,11.2,Droughts,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Future,
1318740,170922,Allaegopis jonicus,7.1.1,Increase in fire frequency/intensity,1.2|2.1,Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1318810,170928,Zonites oertzeni,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1318810,170928,Zonites oertzeni,2.3.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1318810,170928,Zonites oertzeni,11.1,Habitat shifting & alteration,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1318810,170928,Zonites oertzeni,2.1.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1318880,170933,Alopia nixa,3.2,Mining & quarrying,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1318908,170935,Carinigera praecipua,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1318908,170935,Carinigera praecipua,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),"Slow, Significant Declines",,Future,
1318922,170936,Hypnophila cylindrica,7.1.1,Increase in fire frequency/intensity,1.2|1.3|2.1,Ecosystem degradation|Indirect ecosystem effects|Species mortality,,,,Unknown,Unknown,,Ongoing,
1319104,170949,Alopia plumbea,3.2,Mining & quarrying,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1319146,170952,Arion wiktori,7.1.1,Increase in fire frequency/intensity,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Causing/Could cause fluctuations,,Ongoing,
1319146,170952,Arion wiktori,2.3.2,"Small-holder grazing, ranching or farming",1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
1319366,170965,Albinaria zilchi,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
1319366,170965,Albinaria zilchi,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1319506,170975,Tandonia piriniana,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1319506,170975,Tandonia piriniana,1.1,Housing & urban areas,1.1|1.2|1.3|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1319506,170975,Tandonia piriniana,9.4,Garbage & solid waste,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),Unknown,,Ongoing,
1319548,170978,Carinigera tantilla,2.1.2,Small-holder farming,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
1319548,170978,Carinigera tantilla,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Whole (>90%),Unknown,,Ongoing,
1319618,170983,Lehmannia medioflagellata,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],2.2,Species disturbance,,,,Majority (50-90%),Unknown,,Ongoing,
1319618,170983,Lehmannia medioflagellata,2.1.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1319618,170983,Lehmannia medioflagellata,1.3,Tourism & recreation areas,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),Unknown,,Ongoing,
1319618,170983,Lehmannia medioflagellata,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),Unknown,,Ongoing,
1319618,170983,Lehmannia medioflagellata,3.2,Mining & quarrying,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Unknown,
1319632,170984,Muticaria neuteboomi,7.1.3,Trend Unknown/Unrecorded,1.2|2.1,Ecosystem degradation|Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
1319674,170987,Albinaria solicola,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Rapid Declines,,Ongoing,
