assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
13340046,13338039,Halictus holomelaenus,Data Deficient,,2013,2012-07-27 00:00:00 UTC,3.1,English,"Listed as Data Deficient in view of the absence of information on population size and trend, ecological requirements, threats and conservation status.",<p>There is no information about the habitat or ecology of this species.</p>,The threats to this species are unknown.,There is no information about the population size and trend of this species.,Unknown,"<em>Halictus holomelaenus </em>is endemic to Crete (Blüthgen 1936). The extent of occurrence (EOO) is 3,888 km² and the area of occupancy (AOO) is 28 km².",This species is not utilized.,Terrestrial,"It is not known if the species is present within any protected areas. Additional studies are needed into the distribution, abundance, general ecology and threats of this species.",Palearctic,,false,false,Global & Europe
13340050,13338042,Seladonia inpilosa,Data Deficient,,2013,2012-07-27 00:00:00 UTC,3.1,English,"Listed as Data Deficient in view of the absence of information on population size and trend, ecological requirements, threats and conservation status.",The species inhabits coastal areas.,The threats to this species are unknown. It probably may be negatively affected by urbanization in coastal areas.,<p>There is no information about the population size and trend of this species.</p>,Unknown,"<em>Halictus inpilosus </em>is endemic to Greece (Ebmer 1975).&#160;The extent of occurrence (EOO) is 43,284 km² and the area of occupancy (AOO) is 16 km².",This species is not utilized.,Terrestrial,"<p>It is not known if the species is present within any protected areas. Additional studies are needed into the distribution, abundance, general ecology and threats of this species.</p>",Palearctic,,false,false,Global & Europe
17046366,17046314,Dolichopoda hussoni,Least Concern,,2016,2012-06-17 00:00:00 UTC,3.1,English,"<p>The Naoussa Cave-cricket (<em>Dolichopoda hussoni</em>) is endemic to Greece, and is only known from a limited number of caves in and around Naoussa.&#160;This species is assessed as Least Concern since although it has a restricted geographic range (extent of occurrence (EOO) is&#160;<em>ca</em>&#160;400 km², area of occupancy (AOO) is 16 km²) and there are no major threats affecting the species. Other caves in the region need to be investigated to check if the species has a wider distribution.&#160;Further research into the population size and trend, ecology and the threats to this species is required.</p>",This species lives in caves.,"This species has been found in several caves situated in a town or in a touristic area (School of Aristotle), but no particular threats are known for any of the caves.",Neither the population size nor the population trend are known.,Unknown,"<p>The Naoussa Cave-cricket is endemic to Greece, and is only known from a limited number of caves in and around Naoussa (Di Russo <em>et al</em>. 2014). This species' extent of occurrence (EOO) is <em>ca</em> 400 km², and its area of occupancy (AOO) is 16 km².<br/></p>",The species is not utilized.,Terrestrial,"No conservation measures are in place for this species, but it is present in protected areas. Other caves in the region need to be investigated to check if the species has a wider distribution.&#160;Further research into the population size and trend, ecology and the threats to this species is required.<p></p>",Palearctic,,false,false,"Global, Europe & Mediterranean"
17891947,16084525,Oropodisma chelmosi,Endangered,"B1ab(iii,v)+2ab(iii,v)",2016,2015-02-04 00:00:00 UTC,3.1,English,"The Chelmos Mountain Grasshopper (<em>Oropodisma chelmosi</em>) is endemic to Greece, where it is only&#160;found at higher altitudes in four mountain areas&#160;in the central part of the Peloponnesus.&#160;This species is assessed as Endangered since it has a restricted geographic range (extent of occurrence (EOO) is 838 km², area of occupancy (AOO) is between 20 and 100 km²), the population is severely fragmented, and there is an inferred continuing decline in the number of mature individuals and in the extent and quality of its habitat, due to grazing and skiing activities. While grazing by goats and changes to the grazing regime may affect this species, the strongest threat is considered to be skiing (ski center on Mt. Chelmos has recently been expanded).&#160;Further research into the population size and the threats to this species is required. In addition, its habitat needs to be restored and managed to avoid any future population declines.","Mountain Grasshoppers&#160;are high mountain species, as a rule found above the timberline. They are found on open rocky slopes with a sparse vegetation of herbs and grasses. They seem to prefer spots with loose rocks which they use to hide. This wingless species is found at elevations of 1,550-1,980 m Asl.","The mountain slopes where this species is found are grazed by goats during the summer, and Mt. Chelmos is used for skiing in the winter. These activities are likely to negatively affect this species.&#160;While grazing by goats and changes to the grazing regime may affect this species, the strongest threat is considered to be skiing (ski center on Mt. Chelmos has recently been expanded).","There is no&#160;available information&#160;on the subpopulations of this species<em>&#160;</em>for each mountain where it occurs, nor is anything known about the population trend. However, the population is inferred to be in decline, particularly on Mt. Chelmos, which is affected by skiing activities. The subpopulations are isolated with no or little genetic exchange between them and this species is therefore considered as severely fragmented.",Decreasing,"The Chelmos Mountain Grasshopper is endemic to Greece, where it is only known from some mountains in the central part of the Peloponnesus (Willemse 1979, Willemse 1984).&#160;This species' extent of occurrence (EOO) is 838 km², and its area of occupancy (AOO) is between 20 and 100 km².",The species is in no way used or traded.,Terrestrial,"No conservation measures are in place for this species, but it occurs in at least one protected area. Further research into the population size and the threats to this species is required. In addition, its habitat needs to be restored and managed to avoid any future population declines.",Palearctic,,false,false,"Global, Europe & Mediterranean"
18053580,16084523,Oropodisma willemsei,Critically Endangered,"B1ab(iii,v)",2016,2015-02-05 00:00:00 UTC,3.1,English,"The Willemse's Mountain Grasshopper (<em>Oropodisma willemsei</em>)<em>&#160;</em>is endemic to Greece, and is only known from Mt. Giona, in the southern part of the Greek mainland. This species is assessed as Critically Endangered since it has a very restricted geographic range (extent of occurrence is 85 km²), it potentially occurs at only one location, and there is an inferred&#160;continuing decline in the quality of its habitat, and in the number of mature individuals due to livestock grazing and day-mining activities on Mt. Giona.&#160;Further research is needed into the population size and trend, and into the effects of day-mining and grazing on this species. The habitat of this species needs protection, and quarrying activities need to be stopped in order to avoid future population declines. Furthermore, livestock grazing needs to be managed appropriately.","Mountain Grasshoppers&#160;are high mountain species, as a rule found above the timberline. They are found on open rocky slopes with a sparse vegetation of herbs and grasses. They seem to prefer spots with loose rocks which they use to hide. This species is also found on slopes almost entirely covered by grass and hardly any rocks, and it is found at elevation of 1,750-1,900 m asl.","Mt. Giona is used for grazing in the summer, although the extent to which this species is affected is unknown. The main threat to this species comes from the quarries on the mountain which completely destroy its habitat.&#160;Taking into account the extent of the effects of quarrying and the distribution of the species it is considered to possibly occur at only one location (certainly fewer than 10 locatons).","There is no available information on the population size and the population trend of this species. As a result of quarrying activities, a continuing decline in population size is inferred.",Decreasing,"The Willemse's Moutain Grasshopper<em>&#160;</em>is endemic to Greece, and is only known from Mt. Giona, in the southern part of the Greek mainland (Willemse 1984, Willemse and Willemse 2008).&#160;This species' extent of occurrence (EOO) is estimated to be around 40 km².",The species is in no way used or traded.,Terrestrial,"No conservation measures are in place for this species, and it is not found in any protected areas. Further research is needed into the population size and trend, and into the effects of day-mining and grazing on this species. The habitat of this species needs protection and quarrying activities need to be stopped in order to avoid future population declines. Furthermore, livestock grazing needs to be managed appropriately.",Palearctic,,false,false,"Global, Europe & Mediterranean"
18407506,16084420,Oropodisma karavica,Endangered,"B1ab(iii,v)+2ab(iii,v)",2016,2015-02-04 00:00:00 UTC,3.1,English,"The Karavica Mountain Grasshopper (<em>Oropodisma karavica</em>) is endemic to Greece, and is only known from the area around Mt. Karava in Central Greece. This species is assessed as Endangered since it has a restricted geographic range (extent of occurrence is 150 km² and area of occupancy is 8-30 km²), it occurs at only two locations, and a decline in the number of mature individuals and in the quality of habitat is projected as a result of overgrazing.&#160;Further research is needed into the population size and trend, as well as into the effects of grazing on this grasshopper. In addition, its habitat needs to be managed appropriately (particularly the grazing regime), in order to avoid future population declines.","Mountain Grasshoppers&#160;are high mountain species, as a rule found above the timberline. They are found on open rocky slopes with a sparse vegetation of herbs and grasses. They seem to prefer spots with loose rocks which they use to hide.","Like other mountains, Mts. Karava and Kazarma are used for livestock grazing in the summer. In the future there might be increased cattle grazing, which could negatively affect this species. Taking into account the extent of the effects of grazing and the distribution of this species, it is considered to occur at only two locations.<p></p>","No specific information on the population size and the population trend of this species exists, but a future decline is projected based upon the threat of future overgrazing.",Decreasing,"The Karavica Mountain Grasshopper is endemic to Greece, and is only known from the area around Mt. Karava in central Greece (La Greca and Messina 1976, Willemse and Willemse 2008).&#160;This species' extent of occurrence (EOO) is 150 km², and its area of occupancy (AOO) is 8 km² (upper estimate 30 km²).",The species is in no way used or traded.,Terrestrial,"No conservation measures are in place for this species, but it occurs in protected areas. Further research is needed into the population size and trend, as well as into the effects of grazing on this grasshopper. In addition, its habitat needs to be managed appropriately (particularly the grazing regime), in order to avoid future population declines.",Palearctic,,false,false,"Global, Europe & Mediterranean"
19201320,19198562,Andrena olympica,Data Deficient,,2014,2014-02-11 00:00:00 UTC,3.1,English,"<p>Listed as Data Deficient due to the lack of information on the species current population size, trends, and threats. Research should be conducted to determine the population trends and threats to the species as it is only found in a small area and may well be threatened.</p>","<p>It is a spring species with a flight period from mid March until&#160;end of April.&#160;Further information on the habitat and ecology of the species is absent in the literature, although as it occurs in Greece, it can be suspected to inhabit Mediterranean-type shrubland.</p>",<p>The threats to this species are unknown.</p>,"<p>The current status of <em>Andrena </em><em>olympica </em>populations has not been investigated. The population trend is unknown. However, during the five years from&#160;<span lang=""EN-GB"">1965-1970&#160;almost 200 specimens were collected (150 females and 36 males) (Grünwaldt <em>et al.</em> 2005).</p>",Unknown,"<p>This species is known only from six localities in continental Greece (Sparta,&#160;Olympia, Kalavryta, Kalamata, Vytina, and Mistra) (Grünwaldt <em>et al.</em> 2005). Eleven specimens from five different localities, all from the Peloponnese, have also been identified (Grünwaldt&#160;<em>et al.</em>&#160;2005, E. Scheuchl pers. comm. 2014).&#160;</p><p> </p><p>The extent of occurrence (EOO) is 3,834 km<sup><span lang=""EN-GB"">2&#160;</sup>and the area of occupancy (AOO) is 24 km<sup><span lang=""EN-GB"">2</span></sup>.</p>",<p>The species is not traded or exploited commercially.</p>,Terrestrial,"<p>The species is not listed in any National Red Lists or Red Data Books. It is unknown whether it occurs within any protected areas. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.</p>",Palearctic,,false,false,Global & Europe
19201795,19198587,Andrena standfussorum,Data Deficient,,2014,2014-01-30 00:00:00 UTC,3.1,English,"<p>Listed as Data Deficient as the species has been described from only 20 specimens, and in view of the lack of information regarding the population trends, habitat, ecology and threats. Further research is needed in order to establish the status of this species, as its host plant has declined in the last few years.</p>","<p>All specimens (20 exemplars) were collected from one locality at the end of February and in March from the flowers of <em>Veronica glauca </em>(<span lang=""EN-GB"">Scrophulariaceae)<em> </em>(Scheuchl 2010). <em>Andrena </em><em>standfussorum</em> <span class=""hps"">is limited <span class=""hps"">to the <span class=""hps"">area of pseudo <span class=""hps"">steppe (Standfuss <em>e</em><em>t al.</em> 2011)<span class=""hps"">.&#160;<em>Veronica glauca</em> (Scrophulariaceae) is a Balkan endemic found only in the southern part of the Balkan Peninsula (Greece, Greek Aegean islands (eastern), Crete, Albania and in south of Bulgaria).</span></span></span></p>","<p><em>Andrena standfussorum</em> may be threatened by a decline in its host plant species,&#160;<em>Veronica glauca,&#160;</em>which may lead to a decrease in the quality of the species' habitat, as its primary food source is less abundant. This plant in the<em> </em>past was much more numerous than how it currently is. <em>Veronica glauca</em>  inhabits areas with strong anthropogenic pressure, and active  agriculture. The species is treated as a weed and therefore it is often removed.  In Bulgaria this plant is included in Red Data Book as Critically  Endangered (CR B2ab(i,ii,v)) (Peev and Tsoneva 2011).&#160;</p>","<p>The population size and trend of this species are unknown, since the species has only been described from 20 specimens in one locality.&#160;</p><p>The species' population is dependent upon the availability of its host plant, <em>Veronica glauca</em> (Plantaginaceae) and thus the species could easily come under threat if the host plant is affected.&#160;</p>",Unknown,"<p>This species is known only from its initial description,&#160;<span class=""hps"">which was made <span class=""hps"">on the specimens collected <span class=""hps"">in 2005-2006 from a single locality in the&#160;Thessaly region, Volos, Greece (Scheuchl 2010, Standfuss <em>at al.</em> 2011). Until further specimens are found, it can be considered as an endemic species to Greece. The estimated area of occupancy (AOO) is 4 km<span lang=""EN-GB""><sup>2</sup>.</span></span></p><p></p>",<p>The species is not traded or exploited commercially.</p>,Terrestrial,"This species could benefit primarily from the protection of its host plant species, <em>Veronica glauca</em>.&#160;The species is not listed in any National Red Lists or Red Data Books. It is unknown whether it occurs within any protected areas. Further research should be conducted to determine the population size and trends, habitat and ecology, and further threats to the species.<p></p>",Palearctic,,false,false,Global & Europe
19201930,19199004,Andrena trikalensis,Data Deficient,,2014,2014-01-14 00:00:00 UTC,3.1,English,"This species is listed as Data Deficient as there is no information on population size or trends, habitat, ecology, or threats. Further research may increase the threat status of this species, especially considering that is endemic to mainland Greece, and has a very small extent of occurrence (EOO) and an even smaller area of occupancy (AOO).","Little is known of the habitats or ecology of this species, although it has been reported to fly in April and May&#160;(unpublished data,&#160;E. Scheuchl&#160;pers. comm. 2014).<p></p>",The specific threats to the species are not known.,There are no data available on either overall population size or trends.,Unknown,"This is a Balkan endemic species, restricted to the montane regions of mainland Greece&#160;(Gusenleitner and Schwarz 2002, Kuhlmann <em>et al</em>. 2014).",This species is not traded or exploited commercially.,Terrestrial,"The species is not listed on any National Red Lists or Red Data Books and is not the subject of any targeted conservation action.&#160;It is not known if the species is found in any protected areas.&#160;<span lang=""EN-GB"">Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",Palearctic,,false,false,Global & Europe
19881752,19199804,Hylaeus hellenicus,Data Deficient,,2013,2013-09-06 00:00:00 UTC,3.1,English,"Listed as Data Deficient in view of the lack of information on the population size and trend, habitat, ecological requirements and threats. The species has a restricted distribution and further research should be carried out to establish the status of this species.","The details about the habitats, the bionomics and ecological requirements of this species are not known.",The threats to this species are not known.,"An infrequent and specialized alpine species, restricted to the high mountains of Greece. There is no information about the population size or trend of this species.",Unknown,"The species is limited to higher mountain regions in Greece at 1,700-2,300 m altitude.",This species is not traded or exploited commercially.,Terrestrial,"This species is not included in a National Red List or Red Data Book. The species is not subject to any targeted conservation action. Further research is necessary to establish the size of the population, the details of the habitat and ecology, and to identify any threats and trends.<br/>It is not known if the species occurs in any protected areas although it is very likely that it does.",Palearctic,,false,false,Global & Europe
19881954,19199635,Hylaeus koenigsmanni,Data Deficient,,2013,2013-09-06 00:00:00 UTC,3.1,English,"Listed as Data Deficient in view of the absence of information on the population size and trend, habitat, ecological requirements and threats. The species has a very restricted range and further research is needed to establish the status of this species.","The details about the habitats, the bionomics and ecological requirements of this species are not known.",The threats to this species are unknown.,The species is limited to a narrow distribution area and is only rarely recorded. The population trend is unknown.,Unknown,"The species is limited to higher mountain regions of Crete at altitudes between 1,400-2,100 m.",This species is not traded or exploited commercially.,Terrestrial,"This species is not included in a National Red List or Red Data Book. The species is not subject to any targeted conservation action. Further research is required into the population size and trend, habitat, ecological requirements and threats. It is not known if the species occurs in protected areas.",Palearctic,,false,false,Global & Europe
19882034,19199942,Hylaeus milossus,Data Deficient,,2013,2013-09-06 00:00:00 UTC,3.1,English,"<p>Listed as Data Deficient in view of the lack of information on the species' population size, trends, habitat, ecological requirements and threats. Research should be conducted to assess the status of this species.</p>","Due to the species' occurrence in Greece, it can be presumed to inhabit Mediterranean-type shrubland. Details about the habitat, the bionomics and ecological requirements of this species are not known.",The threats to this species are not known.,It is a very rare species only found in its type locality. The populations are probably small but there is no information available on the population trend of this species.,Unknown,The species is reported from a narrow distribution area in Greece only.,This species is not traded or exploited commercially.,Terrestrial,"<p>The species is not listed in any National Red Lists or Red Data Books. Research should be conducted on the species’ population size, trends, distribution, taxonomy, habitat and ecology, and to ascertain if there are any threats to the species. It is not known whether the species occurs in any protected areas.</p>",Palearctic,,false,false,Global & Europe
21145860,19198984,Epeolus sigillatus,Data Deficient,,2014,2014-02-21 00:00:00 UTC,3.1,English,"Listed as Data Deficient because this species is only known from a few records in Crete and there is no information on the population size and trend, habitat, ecological requirements and threats. Further research is needed to assess the status of this species.","The species probably inhabits open sandy habitats but there is no published data on its habitat.&#160;This is a kleptoparasitic species,&#160;in that it parasitises the nests of other bee species.&#160;The host of this species is unknown.",The threats to this species are unknown.,There is no information on the population size or trend for this species (P. Bogusch pers. comm. 2014).,Unknown,This species is endemic to Crete (Greece).,This species is not traded or exploited commercially.,Terrestrial,"Further research is needed into the population size and trend, habitat, ecological requirements and threats. It is not known if it occurs in any protected area.",Palearctic,,false,false,Global & Europe
